"id_all","Headline","codeN","cabinetmatch","ldpmatch","politicsmatch"
59651,"小泉首相訪朝へ　「政治生命かけて行く」 ",NA,11083,NA,10985
24188,"自民離党の武村正義氏ら、きょう新党旗揚げ",NA,NA,1605,4479
98463,"台風　避難勧告１３４万世帯　１８号横断　自治体　早めに発令",NA,NA,NA,15920
35810,"「母体行負担は限界」　橋本前全銀協会長が参院の住専問題証人喚問で強調 ",NA,NA,NA,7152
81567,"「政治、大いに不満」６０％　９割「民意反映ない」　朝日新聞社世論調査",NA,NA,NA,13831
1437,"朝日・ツァイト共催政経シンポ　シュミット前首相ら迎え東京で",NA,260,NA,NA
2875,"整備新幹線の部分着工　６４年度、３線同時に　政府・自民検討委が方針＝図付き ",NA,559,174,NA
36525,"ＯＤＡの柱に「福祉」　病院建設や医療技術提供／政府方針 ",NA,7536,NA,NA
71315,"民法、抜本改正へ　リース契約などに対応　２００８年の国会提出目指す／法務省 ",NA,NA,NA,12494
17292,"宮沢首相、韓国大統領の非核化宣言支持を表明　参院代表質問",NA,3694,NA,3019
91320,"（憲法はいま　変化の潮流：中）改憲、手続き論先行　自民・維新・みんな共同歩調",NA,NA,4621,NA
30225,"水俣病未認定患者に一時金　社党全面解決案　解決長期化に村山首相、遺憾表明も ",NA,6522,NA,NA
32521,"「車」大詰め攻防　制裁決定期限目前　米側、厳しい新要求／閣僚協議 ",NA,6884,NA,NA
810,"日米首脳会談始まる　竹下首相、「世界に貢献」表明へ",NA,155,NA,NA
21452,"調査・告発へ独立機関　政治資金で「民間政治臨調」が緊急提言",NA,NA,NA,3809
18035,"従軍慰安婦問題、宮沢首相が謝罪表明「胸の詰まる思い」　あす訪韓",NA,3863,NA,NA
30872,"臨時法を適用　阪神大震災被災の借地・借家人保護　あす閣議決定",NA,NA,NA,6168
98777,"軽自動車税もエコ減税　政府・与党方針　来年度購入分から",NA,17049,NA,16073
18644,"地球保全財源に「環境税」創設を　竹下元首相が提唱 ",NA,4036,NA,NA
6540,"都議選、７月２日投票を正式決定　参院選占う大型選挙 ",NA,NA,NA,1071
44027,"「財革法は廃止」　小泉氏、出馬会見で政権構想／自民党総裁選 ",NA,8667,2465,8540
29842,"ＡＰＥＣ貿易自由化の期限設定に難色　マハティール・マレーシア首相",NA,6473,NA,NA
51469,"衆院選、きょう投票　１４０４人に審判　大勢判明は深夜１時過ぎ ",NA,NA,NA,9819
72524,"共謀罪法案、成立は困難　強行回避「鶴の一声」　議長仲裁、背後に小泉首相の指示",NA,12822,NA,NA
33606,"［政まつりごと］第二部政治家解剖（３）保守と革新（連載） ",NA,NA,NA,6686
16116,"参院政治改革委員長に坂野重信氏　２３日に設置 ",NA,NA,NA,2820
29684,"［地球を読む］政治と道徳　権謀術数の米外交　Ｍ・ヘイカル（寄稿） ",NA,NA,NA,5877
93180,"特許、無条件で会社のもの　社員の発明、「十分な報償金」の条件外す　政府方針固める",NA,16917,NA,NA
94326,"防衛相問責　可決の公算　与党内、早期辞任促す声も ",NA,15743,NA,14938
34920,"住専処理の預金保険機構　調査と回収権限　特別措置法案に明記へ／政府 ",NA,7293,NA,NA
261,"不破氏は副議長に　委員長に村上氏昇格／共産党大会閉幕 ",NA,NA,NA,35
43987,"菅民主代表の統一首相候補構想　平和、公明は拒否 ",NA,8664,NA,NA
88658,"政府・日銀、介入の用意　追加緩和も検討　円高・株安",NA,15546,NA,NA
17529,"橋本大二郎氏圧勝、約２０万票差　自民公認候補下す　高知県知事選",NA,NA,1106,3078
75325,"分娩取りやめ、１０５病院　自治体、対策急ぐ　昨年以降８％減に　朝日新聞全国調査",NA,NA,NA,12969
71444,"［ライブドア・強制捜査の衝撃］（中）堀江流経営手法（連載） ",NA,NA,NA,12513
33623,"田沢法相、９日に辞任　「裏取引」疑惑で引責　後任は宮沢弘氏が有力 ",NA,7051,NA,NA
70369,"在日米軍再編、小泉首相が調整加速を指示　普天間移設に複数案　",NA,12582,NA,NA
17346,"米中正常化へ中国譲歩、人権問題は定期協議で　ベーカー・銭外相会談",NA,3713,NA,NA
7794,"ハンガリー共産党が西欧型強める新綱領案固める　市場原理と軍縮と",NA,NA,NA,1351
24700,"「細川首相」指名持ち越し　国会議事日程延期、異例の事態 ",NA,5205,NA,4739
35806,"内閣・行政機構改革大綱を提言　省庁「１府９省」に再編／読売新聞社 ",NA,7419,NA,NA
31073,"「首相の犯罪」確定へ　ロッキード事件丸紅ルート、最高裁大法廷が２２日に判決 ",NA,6685,NA,NA
13491,"湾岸危機での追加財政支援の検討を盛る／日米外相共同新聞発表 ",NA,2819,NA,NA
55063,"小泉内閣、支持８１％で高水準維持　朝日新聞社世論調査",NA,10351,NA,NA
51478,"第４２回衆院選　党派別当選者数 ",NA,NA,NA,9828
29641,"クウェート承認は国連の制裁緩和が条件／イラク国会議長 ",NA,NA,NA,5870
60083,"対イラク決議その日…カーター氏にノーベル平和賞　選考委「米政権への批判」 ",NA,11178,NA,NA
20619,"米大統領選共和党候補　ブッシュ氏を正式指名　きょう２１日受諾演説 ",NA,NA,NA,3652
19090,"環境基本法の作成指示表明　地球環境賢人会議で宮沢首相",NA,4113,NA,3375
34107,"宗教法人特別委　連立与党が通常国会でも設置の方針　政教分離や税制論議 ",NA,NA,NA,6777
95389,"維新　来月中旬に新党　国会議員５人確保へ　他党と合流せず",NA,NA,NA,15188
